,ssec,wti,ine
2019/1/29,0.00686885,0.020821442,0.016872134
2019/1/30,0.006799442,0.021700142,0.020895958
2019/1/31,0.008166025,0.021321645,0.020287734
2019/2/1,0.007620877,0.019920009,0.019710793
2019/2/2,0.010864629,0.022076551,0.020494951
2019/2/3,1.19E-02,2.16E-02,2.02E-02
2019/2/4,1.23E-02,2.02E-02,1.95E-02
2019/2/5,0.012440183,0.019148442,0.018748125
2019/2/6,0.012528241,0.019024082,0.017985667
2019/2/7,0.012586556,0.017972113,0.017261735
2019/2/8,0.012633786,0.0199271,0.016595644
2019/2/9,0.012676893,0.01866446,0.01599983
2019/2/10,1.27E-02,1.76E-02,1.55E-02
2019/2/11,0.012759535,0.016690073,0.015057988
2019/2/12,0.012800419,0.016028091,0.014728889
2019/2/13,0.01040599,0.016915845,0.014489254
2019/2/14,1.43E-02,1.73E-02,1.57E-02
2019/2/15,0.010247004,0.016975605,0.019493513
2019/2/16,0.012051765,0.020866728,0.021008003
2019/2/17,9.10E-03,2.26E-02,2.28E-02
2019/2/18,0.011334266,0.023065633,0.024750096
2019/2/19,1.90E-02,2.28E-02,2.68E-02
2019/2/20,1.28E-02,2.20E-02,2.61E-02
2019/2/21,9.57E-03,2.12E-02,1.98E-02
2019/2/22,8.20E-03,1.99E-02,1.64E-02
2019/2/23,1.41E-02,1.86E-02,1.51E-02
2019/2/24,0.022079473,0.017937503,0.01485714
2019/2/25,3.08E-02,1.89E-02,1.55E-02
2019/2/26,3.99E-02,2.19E-02,1.69E-02
2019/2/27,2.54E-02,2.07E-02,3.55E-02
2019/2/28,1.67E-02,2.21E-02,2.43E-02
2019/3/1,0.011860307,0.020654906,0.019154932
2019/3/2,1.45E-02,2.19E-02,2.01E-02
2019/3/3,1.44E-02,2.10E-02,1.72E-02
2019/3/4,1.34E-02,1.96E-02,1.57E-02
2019/3/5,1.21E-02,1.90E-02,1.84E-02
2019/3/6,0.010691207,0.017969244,0.017511104
2019/3/7,0.01301675,0.017183413,0.015532275
2019/3/8,0.00962265,0.016363657,0.017314477
2019/3/9,0.029758284,0.016227611,0.015879508
2019/3/10,2.43E-02,1.56E-02,1.51E-02
2019/3/11,1.59E-02,1.51E-02,1.47E-02
2019/3/12,1.64E-02,1.54E-02,1.45E-02
2019/3/13,1.34E-02,1.49E-02,2.38E-02
2019/3/14,1.20E-02,1.78E-02,1.83E-02
2019/3/15,1.19E-02,1.69E-02,2.03E-02
2019/3/16,1.12E-02,1.61E-02,1.83E-02
2019/3/17,1.29E-02,1.55E-02,1.67E-02
2019/3/18,0.015783247,0.01508226,0.015516264
2019/3/19,1.91E-02,1.49E-02,1.48E-02
2019/3/20,1.29E-02,1.44E-02,3.25E-02
2019/3/21,9.52E-03,1.48E-02,2.27E-02
2019/3/22,8.19E-03,1.45E-02,2.19E-02
2019/3/23,7.32E-03,1.56E-02,1.75E-02
2019/3/24,7.94E-03,1.56E-02,1.60E-02
2019/3/25,0.010964786,0.015123342,0.017768262
2019/3/26,1.53E-02,1.46E-02,2.21E-02
2019/3/27,1.45E-02,1.64E-02,1.80E-02
2019/3/28,1.17E-02,1.61E-02,1.77E-02
2019/3/29,1.07E-02,1.54E-02,1.77E-02
2019/3/30,2.18E-02,1.60E-02,1.57E-02
2019/3/31,2.37E-02,1.71E-02,1.57E-02
2019/4/1,2.34E-02,1.87E-02,1.72E-02
2019/4/2,0.022286439,0.020683897,0.019787651
2019/4/3,1.47E-02,2.04E-02,2.30E-02
2019/4/4,1.31E-02,1.91E-02,1.98E-02
2019/4/5,1.13E-02,1.80E-02,1.68E-02
2019/4/6,9.78E-03,1.86E-02,1.52E-02
2019/4/7,8.48E-03,1.92E-02,1.49E-02
2019/4/8,0.007525951,0.019902671,0.015773352
2019/4/9,7.03E-03,2.06E-02,1.75E-02
2019/4/10,6.90E-03,1.93E-02,1.55E-02
2019/4/11,6.79E-03,1.84E-02,1.54E-02
2019/4/12,1.23E-02,1.82E-02,1.60E-02
2019/4/13,9.23E-03,1.72E-02,1.61E-02
2019/4/14,7.80E-03,1.63E-02,1.62E-02
2019/4/15,7.30E-03,1.56E-02,1.63E-02
2019/4/16,7.27E-03,1.51E-02,1.65E-02
2019/4/17,1.66E-02,1.57E-02,1.91E-02
2019/4/18,1.16E-02,1.52E-02,1.71E-02
2019/4/19,0.009227081,0.014771302,0.016963006
2019/4/20,8.74E-03,1.48E-02,1.55E-02
2019/4/21,7.60E-03,1.55E-02,1.74E-02
2019/4/22,9.24E-03,1.70E-02,2.22E-02
2019/4/23,1.34E-02,1.90E-02,2.84E-02
2019/4/24,1.03E-02,1.83E-02,2.65E-02
2019/4/25,8.28E-03,1.75E-02,2.01E-02
2019/4/26,1.73E-02,1.73E-02,1.99E-02
2019/4/27,1.41E-02,2.21E-02,1.69E-02
2019/4/28,1.22E-02,2.25E-02,1.92E-02
2019/4/29,1.09E-02,2.12E-02,2.56E-02
2019/4/30,9.86E-03,1.99E-02,3.39E-02
2019/5/1,8.69E-03,1.86E-02,2.33E-02
2019/5/2,8.23E-03,1.76E-02,1.80E-02
2019/5/3,1.24E-02,2.12E-02,1.64E-02
2019/5/4,1.91E-02,1.97E-02,1.71E-02
2019/5/5,2.66E-02,1.86E-02,1.92E-02
2019/5/6,3.46E-02,1.77E-02,2.22E-02
2019/5/7,4.27E-02,1.72E-02,2.55E-02
2019/5/8,2.71E-02,1.71E-02,2.72E-02
2019/5/9,0.018844209,0.016724112,0.019816309
2019/5/10,1.59E-02,1.63E-02,1.68E-02
2019/5/11,2.24E-02,1.55E-02,1.71E-02
2019/5/12,1.80E-02,1.50E-02,1.86E-02
2019/5/13,1.23E-02,1.49E-02,2.07E-02
2019/5/14,1.21E-02,1.54E-02,2.31E-02
2019/5/15,1.01E-02,1.49E-02,1.94E-02
